nominees,details,award_show,year,award,winner,ref_year
Alfonso Cuarón,Gravity,Chicago Film Critics,2013,Best Director,0,7
David O. Russell,American Hustle,Chicago Film Critics,2013,Best Director,0,7
"Joel Coen, Ethan Coen",Inside Llewyn Davis,Chicago Film Critics,2013,Best Director,0,7
Spike Jonze,Her,Chicago Film Critics,2013,Best Director,0,7
The Act of Killing,,Chicago Film Critics,2013,Best Documentary,1,7
20 Feet from Stardom,,Chicago Film Critics,2013,Best Documentary,0,7
Blackfish,,Chicago Film Critics,2013,Best Documentary,0,7
Stories We Tell,,Chicago Film Critics,2013,Best Documentary,0,7
The Armstrong Lie,,Chicago Film Critics,2013,Best Documentary,0,7
Gravity,"Alfonso Cuarón, Mark Sanger",Chicago Film Critics,2013,Best Editing,1,7
12 Years a Slave,Joe Walker,Chicago Film Critics,2013,Best Editing,0,7
American Hustle,"Alan Baumgarten, Jay Cassidy, Crispin Struthers",Chicago Film Critics,2013,Best Editing,0,7
The Wolf of Wall Street,Thelma Schoonmaker,Chicago Film Critics,2013,Best Editing,0,7
Upstream Color,"Shane Carruth, David Lowery",Chicago Film Critics,2013,Best Editing,0,7
The Act of Killing,,Chicago Film Critics,2013,Best Foreign Language Film,1,7
Blue Is the Warmest Color,,Chicago Film Critics,2013,Best Foreign Language Film,0,7
The Hunt,,Chicago Film Critics,2013,Best Foreign Language Film,0,7
The Wind Rises,,Chicago Film Critics,2013,Best Foreign Language Film,0,7
Wadjda,,Chicago Film Critics,2013,Best Foreign Language Film,0,7
Her,Arcade Fire,Chicago Film Critics,2013,Best Original Score,1,7
12 Years a Slave,Hans Zimmer,Chicago Film Critics,2013,Best Original Score,0,7
Blancanieves,Alfonso de Vilallonga,Chicago Film Critics,2013,Best Original Score,0,7
Gravity,Steven Price,Chicago Film Critics,2013,Best Original Score,0,7
Spring Breakers,"Cliff Martinez, Skrillex",Chicago Film Critics,2013,Best Original Score,0,7
Her,Spike Jonze,Chicago Film Critics,2013,Best Original Screenplay,1,7
American Hustle,"Eric Warren Singer, David O. Russell",Chicago Film Critics,2013,Best Original Screenplay,0,7
Blue Jasmine,Woody Allen,Chicago Film Critics,2013,Best Original Screenplay,0,7
Inside Llewyn Davis,"Joel Coen, Ethan Coen",Chicago Film Critics,2013,Best Original Screenplay,0,7
Nebraska,Bob Nelson,Chicago Film Critics,2013,Best Original Screenplay,0,7
12 Years a Slave,,Chicago Film Critics,2013,Best Picture,1,7
American Hustle,,Chicago Film Critics,2013,Best Picture,0,7
Gravity,,Chicago Film Critics,2013,Best Picture,0,7
Her,,Chicago Film Critics,2013,Best Picture,0,7
Inside Llewyn Davis,,Chicago Film Critics,2013,Best Picture,0,7
Jared Leto,Dallas Buyers Club,Chicago Film Critics,2013,Best Supporting Actor,1,7
Barkhad Abdi,Captain Phillips,Chicago Film Critics,2013,Best Supporting Actor,0,7
James Franco,Spring Breakers,Chicago Film Critics,2013,Best Supporting Actor,0,7
James Gandolfini,Enough Said,Chicago Film Critics,2013,Best Supporting Actor,0,7
Michael Fassbender,12 Years a Slave,Chicago Film Critics,2013,Best Supporting Actor,0,7
Lupita Nyong'o,12 Years a Slave,Chicago Film Critics,2013,Best Supporting Actress,1,7
Jennifer Lawrence,American Hustle,Chicago Film Critics,2013,Best Supporting Actress,0,7
June Squibb,Nebraska,Chicago Film Critics,2013,Best Supporting Actress,0,7
Léa Seydoux,Blue Is the Warmest Color,Chicago Film Critics,2013,Best Supporting Actress,0,7
Scarlett Johansson,Her,Chicago Film Critics,2013,Best Supporting Actress,0,7
Short Term 12,Destin Daniel Cretton,Chicago Film Critics,2013,Most Promising Filmmaker,1,7
Don Jon,Joseph Gordon-Levitt,Chicago Film Critics,2013,Most Promising Filmmaker,0,7
Fruitvale Station,Ryan Coogler,Chicago Film Critics,2013,Most Promising Filmmaker,0,7
In a World...,Lake Bell,Chicago Film Critics,2013,Most Promising Filmmaker,0,7
The Act of Killing,Joshua Oppenheimer,Chicago Film Critics,2013,Most Promising Filmmaker,0,7
Blue Is the Warmest Color,Adèle Exarchopoulos,Chicago Film Critics,2013,Most Promising Performer,1,7
12 Years a Slave,Lupita Nyong'o,Chicago Film Critics,2013,Most Promising Performer,0,7
42,Chadwick Boseman,Chicago Film Critics,2013,Most Promising Performer,0,7
Captain Phillips,Barkhad Abdi,Chicago Film Critics,2013,Most Promising Performer,0,7
Mud,Tye Sheridan,Chicago Film Critics,2013,Most Promising Performer,0,7
Daniel Day-Lewis,Lincoln,Chicago Film Critics,2012,Best Actor,1,8
Denis Lavant,Holy Motors,Chicago Film Critics,2012,Best Actor,0,8
Denzel Washington,Flight,Chicago Film Critics,2012,Best Actor,0,8
Joaquin Phoenix,The Master,Chicago Film Critics,2012,Best Actor,0,8
John Hawkes,The Sessions,Chicago Film Critics,2012,Best Actor,0,8
Jessica Chastain,Zero Dark Thirty,Chicago Film Critics,2012,Best Actress,1,8
Emmanuelle Riva,Amour,Chicago Film Critics,2012,Best Actress,0,8
Helen Hunt,The Sessions,Chicago Film Critics,2012,Best Actress,0,8
Jennifer Lawrence,Silver Linings Playbook,Chicago Film Critics,2012,Best Actress,0,8
Naomi Watts,The Impossible,Chicago Film Critics,2012,Best Actress,0,8
Quvenzhané Wallis,Beasts of the Southern Wild,Chicago Film Critics,2012,Best Actress,0,8
Lincoln,Tony Kushner,Chicago Film Critics,2012,Best Adapted Screenplay,1,8
Argo,Chris Terrio,Chicago Film Critics,2012,Best Adapted Screenplay,0,8
Beasts of the Southern Wild,"Benh Zeitlin, Lucy Alibar",Chicago Film Critics,2012,Best Adapted Screenplay,0,8
Silver Linings Playbook,David O. Russell,Chicago Film Critics,2012,Best Adapted Screenplay,0,8
The Perks of Being a Wallflower,Stephen Chbosky,Chicago Film Critics,2012,Best Adapted Screenplay,0,8
ParaNorman,,Chicago Film Critics,2012,Best Animated Film,1,8
Brave,,Chicago Film Critics,2012,Best Animated Film,0,8
Frankenweenie,,Chicago Film Critics,2012,Best Animated Film,0,8
The Secret World of Arrietty,,Chicago Film Critics,2012,Best Animated Film,0,8
Wreck-It Ralph,,Chicago Film Critics,2012,Best Animated Film,0,8
Moonrise Kingdom,,Chicago Film Critics,2012,Best Art Direction,1,8
Anna Karenina,,Chicago Film Critics,2012,Best Art Direction,0,8
Les Misérables,,Chicago Film Critics,2012,Best Art Direction,0,8
Lincoln,,Chicago Film Critics,2012,Best Art Direction,0,8
The Master,,Chicago Film Critics,2012,Best Art Direction,0,8
The Master,Mihai Malaimare Jr.,Chicago Film Critics,2012,Best Cinematography,1,8
Life of Pi,Claudio Miranda,Chicago Film Critics,2012,Best Cinematography,0,8
Lincoln,Janusz Kaminski,Chicago Film Critics,2012,Best Cinematography,0,8
Skyfall,Roger Deakins,Chicago Film Critics,2012,Best Cinematography,0,8
Zero Dark Thirty,Greig Fraser,Chicago Film Critics,2012,Best Cinematography,0,8
Kathryn Bigelow,Zero Dark Thirty,Chicago Film Critics,2012,Best Director,1,8
Ben Affleck,Argo,Chicago Film Critics,2012,Best Director,0,8
Benh Zeitlin,Beasts of the Southern Wild,Chicago Film Critics,2012,Best Director,0,8
Paul Thomas Anderson,The Master,Chicago Film Critics,2012,Best Director,0,8
Steven Spielberg,Lincoln,Chicago Film Critics,2012,Best Director,0,8
The Invisible War,,Chicago Film Critics,2012,Best Documentary,1,8
Searching for Sugar Man,,Chicago Film Critics,2012,Best Documentary,0,8
The Central Park Five,,Chicago Film Critics,2012,Best Documentary,0,8
The Queen of Versailles,,Chicago Film Critics,2012,Best Documentary,0,8
West of Memphis,,Chicago Film Critics,2012,Best Documentary,0,8
Zero Dark Thirty,"Dylan Tichenor, William Goldenberg",Chicago Film Critics,2012,Best Editing,1,8
Argo,William Goldenberg,Chicago Film Critics,2012,Best Editing,0,8
Cloud Atlas,Alexander Berner,Chicago Film Critics,2012,Best Editing,0,8
Skyfall,Stuart Baird,Chicago Film Critics,2012,Best Editing,0,8
The Master,"Leslie Jones, Peter McNulty",Chicago Film Critics,2012,Best Editing,0,8
Amour,,Chicago Film Critics,2012,Best Foreign Language Film,1,8
Holy Motors,,Chicago Film Critics,2012,Best Foreign Language Film,0,8
Once Upon a Time in Anatolia,,Chicago Film Critics,2012,Best Foreign Language Film,0,8
Rust and Bone,,Chicago Film Critics,2012,Best Foreign Language Film,0,8
The Intouchables,,Chicago Film Critics,2012,Best Foreign Language Film,0,8
The Master,Jonny Greenwood,Chicago Film Critics,2012,Best Original Score,1,8
Argo,Alexandre Desplat,Chicago Film Critics,2012,Best Original Score,0,8
Beasts of the Southern Wild,"Benh Zeitlin, Dan Romer",Chicago Film Critics,2012,Best Original Score,0,8
Moonrise Kingdom,Alexandre Desplat,Chicago Film Critics,2012,Best Original Score,0,8
Zero Dark Thirty,Alexandre Desplat,Chicago Film Critics,2012,Best Original Score,0,8
Zero Dark Thirty,Mark Boal,Chicago Film Critics,2012,Best Original Screenplay,1,8
Django Unchained,Quentin Tarantino,Chicago Film Critics,2012,Best Original Screenplay,0,8
Looper,Rian Johnson,Chicago Film Critics,2012,Best Original Screenplay,0,8
Moonrise Kingdom,"Wes Anderson, Roman Coppola",Chicago Film Critics,2012,Best Original Screenplay,0,8
The Master,Paul Thomas Anderson,Chicago Film Critics,2012,Best Original Screenplay,0,8
Zero Dark Thirty,,Chicago Film Critics,2012,Best Picture,1,8
Argo,,Chicago Film Critics,2012,Best Picture,0,8
Beasts of the Southern Wild,,Chicago Film Critics,2012,Best Picture,0,8
Lincoln,,Chicago Film Critics,2012,Best Picture,0,8
The Master,,Chicago Film Critics,2012,Best Picture,0,8
Philip Seymour Hoffman,The Master,Chicago Film Critics,2012,Best Supporting Actor,1,8
Dwight Henry,Beasts of the Southern Wild,Chicago Film Critics,2012,Best Supporting Actor,0,8
Jason Clarke,Zero Dark Thirty,Chicago Film Critics,2012,Best Supporting Actor,0,8
Leonardo DiCaprio,Django Unchained,Chicago Film Critics,2012,Best Supporting Actor,0,8
Tommy Lee Jones,Lincoln,Chicago Film Critics,2012,Best Supporting Actor,0,8
Amy Adams,The Master,Chicago Film Critics,2012,Best Supporting Actress,1,8
Anne Hathaway,Les Misérables,Chicago Film Critics,2012,Best Supporting Actress,0,8
Emily Blunt,Looper,Chicago Film Critics,2012,Best Supporting Actress,0,8
Judi Dench,Skyfall,Chicago Film Critics,2012,Best Supporting Actress,0,8
Sally Field,Lincoln,Chicago Film Critics,2012,Best Supporting Actress,0,8
Beasts of the Southern Wild,Benh Zeitlin,Chicago Film Critics,2012,Most Promising Filmmaker,1,8
Arbitrage,Nicholas Jarecki,Chicago Film Critics,2012,Most Promising Filmmaker,0,8
Safety Not Guaranteed,Colin Trevorrow,Chicago Film Critics,2012,Most Promising Filmmaker,0,8
The Cabin in the Woods,Drew Goddard,Chicago Film Critics,2012,Most Promising Filmmaker,0,8
The Perks of Being a Wallflower,Stephen Chbosky,Chicago Film Critics,2012,Most Promising Filmmaker,0,8
Beasts of the Southern Wild,Quvenzhané Wallis,Chicago Film Critics,2012,Most Promising Performer,1,8
Beasts of the Southern Wild,Dwight Henry,Chicago Film Critics,2012,Most Promising Performer,0,8
Les Misérables,Samantha Barks,Chicago Film Critics,2012,Most Promising Performer,0,8
Moonrise Kingdom,Kara Hayward,Chicago Film Critics,2012,Most Promising Performer,0,8
The Impossible,Tom Holland,Chicago Film Critics,2012,Most Promising Performer,0,8
Michael Shannon,Take Shelter,Chicago Film Critics,2011,Best Actor,1,9
Gary Oldman,Tinker Tailor Soldier Spy,Chicago Film Critics,2011,Best Actor,0,9
George Clooney,The Descendants,Chicago Film Critics,2011,Best Actor,0,9
Jean Dujardin,The Artist,Chicago Film Critics,2011,Best Actor,0,9
Michael Fassbender,Shame,Chicago Film Critics,2011,Best Actor,0,9
Michelle Williams,My Week with Marilyn,Chicago Film Critics,2011,Best Actress,1,9
Anna Paquin,Margaret,Chicago Film Critics,2011,Best Actress,0,9
Elizabeth Olsen,Martha Marcy May Marlene,Chicago Film Critics,2011,Best Actress,0,9
Kirsten Dunst,Melancholia,Chicago Film Critics,2011,Best Actress,0,9
Meryl Streep,The Iron Lady,Chicago Film Critics,2011,Best Actress,0,9
Rango,,Chicago Film Critics,2011,Best Animated Feature,1,9
Arthur Christmas,,Chicago Film Critics,2011,Best Animated Feature,0,9
Puss in Boots,,Chicago Film Critics,2011,Best Animated Feature,0,9
The Adventures of Tintin,,Chicago Film Critics,2011,Best Animated Feature,0,9
Winnie the Pooh,,Chicago Film Critics,2011,Best Animated Feature,0,9
The Tree of Life,Emmanuel Lubezki,Chicago Film Critics,2011,Best Cinematography,1,9
Drive,Newton Thomas Sigel,Chicago Film Critics,2011,Best Cinematography,0,9
Hugo,Robert Richardson,Chicago Film Critics,2011,Best Cinematography,0,9
Melancholia,Manuel Alberto Claro,Chicago Film Critics,2011,Best Cinematography,0,9
War Horse,Janusz Kaminski,Chicago Film Critics,2011,Best Cinematography,0,9
Terrence Malick,The Tree of Life,Chicago Film Critics,2011,Best Director,1,9
Alexander Payne,The Descendants,Chicago Film Critics,2011,Best Director,0,9
Martin Scorsese,Hugo,Chicago Film Critics,2011,Best Director,0,9
Michel Hazanavicius,The Artist,Chicago Film Critics,2011,Best Director,0,9
Nicolas Winding Refn,Drive,Chicago Film Critics,2011,Best Director,0,9
The Interrupters,,Chicago Film Critics,2011,Best Documentary,1,9
Cave of Forgotten Dreams,,Chicago Film Critics,2011,Best Documentary,0,9
Into the Abyss,,Chicago Film Critics,2011,Best Documentary,0,9
Pina,,Chicago Film Critics,2011,Best Documentary,0,9
Project Nim,,Chicago Film Critics,2011,Best Documentary,0,9
Tabloid,,Chicago Film Critics,2011,Best Documentary,0,9
A Separation,,Chicago Film Critics,2011,Best Foreign Film,1,9
In a Better World,,Chicago Film Critics,2011,Best Foreign Film,0,9
Incendies,,Chicago Film Critics,2011,Best Foreign Film,0,9
The Skin I Live In,,Chicago Film Critics,2011,Best Foreign Film,0,9
Uncle Boonmee Who Can Recall His Past Lives,,Chicago Film Critics,2011,Best Foreign Film,0,9
Drive,Cliff Martinez,Chicago Film Critics,2011,Best Original Score,1,9
Hanna,"Ed Simons, Tom Rowlands",Chicago Film Critics,2011,Best Original Score,0,9
Hugo,Howard Shore,Chicago Film Critics,2011,Best Original Score,0,9
The Artist,Ludovic Bource,Chicago Film Critics,2011,Best Original Score,0,9
The Girl with the Dragon Tattoo,"Trent Reznor, Atticus Ross",Chicago Film Critics,2011,Best Original Score,0,9
The Tree of Life,,Chicago Film Critics,2011,Best Picture,1,9
Drive,,Chicago Film Critics,2011,Best Picture,0,9
Hugo,,Chicago Film Critics,2011,Best Picture,0,9
The Artist,,Chicago Film Critics,2011,Best Picture,0,9
The Descendants,,Chicago Film Critics,2011,Best Picture,0,9
Moneyball,"Steven Zaillian, Aaron Sorkin",Chicago Film Critics,2011,"Best Screenplay, Adapted",1,9
Drive,Hossein Amini,Chicago Film Critics,2011,"Best Screenplay, Adapted",0,9
Hugo,John Logan,Chicago Film Critics,2011,"Best Screenplay, Adapted",0,9
The Descendants,"Alexander Payne, Nat Faxon, Jim Rash",Chicago Film Critics,2011,"Best Screenplay, Adapted",0,9
Tinker Tailor Soldier Spy,"Bridget O'Connor, Peter Straughan",Chicago Film Critics,2011,"Best Screenplay, Adapted",0,9
The Artist,Michel Hazanavicius,Chicago Film Critics,2011,"Best Screenplay, Original",1,9
A Separation,Asghar Farhadi,Chicago Film Critics,2011,"Best Screenplay, Original",0,9
Martha Marcy May Marlene,Sean Durkin,Chicago Film Critics,2011,"Best Screenplay, Original",0,9
Midnight in Paris,Woody Allen,Chicago Film Critics,2011,"Best Screenplay, Original",0,9
The Tree of Life,Terrence Malick,Chicago Film Critics,2011,"Best Screenplay, Original",0,9
Albert Brooks,Drive,Chicago Film Critics,2011,Best Supporting Actor,1,9
Brad Pitt,The Tree of Life,Chicago Film Critics,2011,Best Supporting Actor,0,9
Christopher Plummer,Beginners,Chicago Film Critics,2011,Best Supporting Actor,0,9
Nick Nolte,Warrior,Chicago Film Critics,2011,Best Supporting Actor,0,9
Patton Oswalt,Young Adult,Chicago Film Critics,2011,Best Supporting Actor,0,9
Jessica Chastain,The Tree of Life,Chicago Film Critics,2011,Best Supporting Actress,1,9
Carey Mulligan,Shame,Chicago Film Critics,2011,Best Supporting Actress,0,9
Melissa McCarthy,Bridesmaids,Chicago Film Critics,2011,Best Supporting Actress,0,9
Octavia Spencer,The Help,Chicago Film Critics,2011,Best Supporting Actress,0,9
Shailene Woodley,The Descendants,Chicago Film Critics,2011,Best Supporting Actress,0,9
Martha Marcy May Marlene,Sean Durkin,Chicago Film Critics,2011,Most Promising Filmmaker,1,9
Like Crazy,Drake Doremus,Chicago Film Critics,2011,Most Promising Filmmaker,0,9
Margin Call,J.C. Chandor,Chicago Film Critics,2011,Most Promising Filmmaker,0,9
My Week with Marilyn,Simon Curtis,Chicago Film Critics,2011,Most Promising Filmmaker,0,9
The Help,Tate Taylor,Chicago Film Critics,2011,Most Promising Filmmaker,0,9
Martha Marcy May Marlene,Elizabeth Olsen,Chicago Film Critics,2011,Most Promising Performer,1,9
Another Earth,Brit Marling,Chicago Film Critics,2011,Most Promising Performer,0,9
The Descendants,Shailene Woodley,Chicago Film Critics,2011,Most Promising Performer,0,9
The Tree of Life,Hunter McCracken,Chicago Film Critics,2011,Most Promising Performer,0,9
Trust,Liana Liberato,Chicago Film Critics,2011,Most Promising Performer,0,9
Colin Firth,The King's Speech,Chicago Film Critics,2010,Best Actor,1,10
James Franco,127 Hours,Chicago Film Critics,2010,Best Actor,0,10
Jeff Bridges,True Grit,Chicago Film Critics,2010,Best Actor,0,10
Jesse Eisenberg,The Social Network,Chicago Film Critics,2010,Best Actor,0,10
Ryan Gosling,Blue Valentine,Chicago Film Critics,2010,Best Actor,0,10
Natalie Portman,Black Swan,Chicago Film Critics,2010,Best Actress,1,10
Annette Bening,The Kids Are All Right,Chicago Film Critics,2010,Best Actress,0,10
Jennifer Lawrence,Winter's Bone,Chicago Film Critics,2010,Best Actress,0,10
Lesley Manville,Another Year,Chicago Film Critics,2010,Best Actress,0,10
Michelle Williams,Blue Valentine,Chicago Film Critics,2010,Best Actress,0,10
Toy Story 3,,Chicago Film Critics,2010,Best Animated Feature,1,10
Despicable Me,,Chicago Film Critics,2010,Best Animated Feature,0,10
How to Train Your Dragon,,Chicago Film Critics,2010,Best Animated Feature,0,10
Tangled,,Chicago Film Critics,2010,Best Animated Feature,0,10
The Illusionist,,Chicago Film Critics,2010,Best Animated Feature,0,10
Inception,Wally Pfister,Chicago Film Critics,2010,Best Cinematography,1,10
Black Swan,Matthew Libatique,Chicago Film Critics,2010,Best Cinematography,0,10
Shutter Island,Robert Richardson,Chicago Film Critics,2010,Best Cinematography,0,10
The Social Network,Jeff Cronenweth,Chicago Film Critics,2010,Best Cinematography,0,10
True Grit,Roger Deakins,Chicago Film Critics,2010,Best Cinematography,0,10
David Fincher,The Social Network,Chicago Film Critics,2010,Best Director,1,10
Christopher Nolan,Inception,Chicago Film Critics,2010,Best Director,0,10
Darren Aronofsky,Black Swan,Chicago Film Critics,2010,Best Director,0,10
Debra Granik,Winter's Bone,Chicago Film Critics,2010,Best Director,0,10
Tom Hooper,The King's Speech,Chicago Film Critics,2010,Best Director,0,10
Exit Through the Gift Shop,,Chicago Film Critics,2010,Best Documentary,1,10
Inside Job,,Chicago Film Critics,2010,Best Documentary,0,10
